Date Time,Identifier,Message
09:10:30:790,F0:F8:F2:DA:2D:0D,"AoA: Angle=6, Ant=1, Channel=23, RSSI=-67"
09:10:30:850,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-72"
09:10:30:447,F0:F8:F2:DA:2D:0D,"AoA: Angle=11, Ant=2, Channel=24, RSSI=127"
09:10:30:862,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-68"
09:10:30:870,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-71"
09:10:30:954,F0:F8:F2:DA:06:D9,"CCI: Channel=25, RSSI=-64"
09:10:30:979,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:10:31:500,F0:F8:F2:DA:2D:0D,"AoA: Angle=0, Ant=1, Channel=25, RSSI=-68"
09:10:31:377,F0:F8:F2:DA:2D:0D,"AoA: Angle=0, Ant=2, Channel=33, RSSI=127"
09:10:31:766,F0:F8:F2:DA:2D:0D,"AoA: Angle=-3, Ant=2, Channel=19, RSSI=-68"
09:10:32:360,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-66"
09:10:32:800,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-68"
09:10:32:130,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-71"
09:10:32:192,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-69"
09:10:32:219,F0:F8:F2:DA:2D:0D,"AoA: Angle=-2, Ant=2, Channel=5, RSSI=-68"
09:10:32:534,F0:F8:F2:DA:2D:0D,"AoA: Angle=-3, Ant=2, Channel=28, RSSI=-68"
09:10:32:990,F0:F8:F2:DA:2D:0D,"AoA: Angle=-13, Ant=1, Channel=29, RSSI=-68"
09:10:33:375,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-71"
09:10:33:397,F0:F8:F2:DA:2D:0D,"AoA: Angle=-5, Ant=2, Channel=0, RSSI=-71"
09:10:33:407,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-63"
09:10:33:493,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-70"
09:10:33:522,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-62"
09:10:33:734,F0:F8:F2:DA:2D:0D,"AoA: Angle=-4, Ant=2, Channel=23, RSSI=-71"
09:10:33:745,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-71"
09:10:33:768,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-67"
09:10:34:151,F0:F8:F2:DA:2D:0D,"AoA: Angle=4, Ant=1, Channel=24, RSSI=-68"
09:10:34:562,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:10:34:589,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-64"
09:10:34:665,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:10:34:910,F0:F8:F2:DA:2D:0D,"AoA: Angle=-1, Ant=2, Channel=18, RSSI=-71"
09:10:35:254,F0:F8:F2:DA:2D:0D,"AoA: Angle=-12, Ant=1, Channel=26, RSSI=-68"
09:10:35:649,F0:F8:F2:DA:2D:0D,"AoA: Angle=-10, Ant=1, Channel=12, RSSI=-68"
09:10:35:744,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-71"
09:10:35:768,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-67"
09:10:35:874,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-71"
09:10:35:905,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-64"
09:10:36:920,F0:F8:F2:DA:2D:0D,"AoA: Angle=-12, Ant=2, Channel=13, RSSI=-69"
09:10:36:578,F0:F8:F2:DA:2D:0D,"AoA: Angle=-2, Ant=2, Channel=36, RSSI=-71"
09:10:37:470,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-62"
09:10:37:720,F0:F8:F2:DA:2D:0D,"AoA: Angle=-2, Ant=2, Channel=15, RSSI=-71"
09:10:37:820,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-71"
09:10:37:170,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-62"
09:10:37:209,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-68"
09:10:37:466,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-67"
09:10:37:493,F0:F8:F2:DA:2D:0D,"AoA: Angle=-3, Ant=1, Channel=23, RSSI=-68"
09:10:37:507,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-71"
09:10:37:903,F0:F8:F2:DA:2D:0D,"AoA: Angle=-4, Ant=2, Channel=24, RSSI=-69"
09:10:38:242,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:10:38:307,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-64"
09:10:38:383,F0:F8:F2:DA:06:D9,"CCI: Channel=25, RSSI=-63"
09:10:38:412,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:10:56:890,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:10:56:997,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-71"
09:10:57:160,F0:F8:F2:DA:2D:0D,"AoA: Angle=4, Ant=1, Channel=10, RSSI=-68"
09:10:57:240,F0:F8:F2:DA:06:D9,"CCI: Channel=25, RSSI=-62"
09:10:57:260,F0:F8:F2:DA:2D:0D,"AoA: Angle=-4, Ant=2, Channel=11, RSSI=-69"
09:10:57:766,F0:F8:F2:DA:2D:0D,"AoA: Angle=-14, Ant=1, Channel=12, RSSI=-68"
09:10:57:973,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-69"
09:10:57:976,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-65"
09:10:58:730,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-71"
09:10:58:770,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-65"
09:10:58:174,F0:F8:F2:DA:2D:0D,"AoA: Angle=-6, Ant=2, Channel=20, RSSI=-71"
